Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment1,Comment2,Comment3,Comment4,Comment5,Parent,Parent summary,Status Category
BE: 資生堂のRaketaskで取得するimage_urlが相対パスになっている,AT-441,10463,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,23/Jul/23 1:04 AM,04/Nov/23 9:33 AM,22/Dec/23 12:14 AM,04/Nov/23 9:33 AM,,0,,"取得元が変わったのか、Raketask側で修正が必要か調査して
画像取得元URLの絶対パスが入るように修正する

!ss_10.png|width=1040,height=279!",,Fernández,satoshi.hirata,712020:744719ff-9f36-45ea-ad59-e50534df8206,63987e6af78d12c0f47112a9,,,,,,,,,AT-405,23/Jul/23 1:08 AM;63987e6af78d12c0f47112a9;ss_10.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10021,,,,,,,,,,{},,,,,,,,,,0|i002sz:,,,,,,,,5.0,,,,,,,2023-11-02 16:00:04.591,03/Nov/23 1:00 AM;712020:744719ff-9f36-45ea-ad59-e50534df8206;[https://github.com/chubachi-pt-2023/atomono-api/pull/103|https://github.com/chubachi-pt-2023/atomono-api/pull/103]　で対応中,,,,,,,Done
BE: Raketaskで処理する画像取得元URLをorigin_image_urlに入るように修正する,AT-442,10464,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,23/Jul/23 1:09 AM,05/Nov/23 12:26 PM,22/Dec/23 12:15 AM,05/Nov/23 12:26 PM,,0,,db/seeds.rb#L28 で強制的にアップデートをかけている部分の削除もお願いします,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,AT-405,,,,,,,,,,,{},,,,,,,,,,0|i002t3:,,,11/7,,,,,3.0,,,,,,,,05/Nov/23 12:13 PM;63987e6af78d12c0f47112a9;[https://chubachi-pt-2023.atlassian.net/browse/AT-610|https://chubachi-pt-2023.atlassian.net/browse/AT-610|smart-link] で対応,,,,,,,Done
所持品リスト・追加モーダル画面,AT-472,10494,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,08/Sep/23 11:51 PM,05/Nov/23 12:10 PM,22/Dec/23 12:15 AM,05/Nov/23 12:10 PM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,,,,0|i002ov:,,,10/31,11/7,,,,,,,,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
CIでtestを回す,AT-479,10501,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,12/Sep/23 9:08 PM,01/Nov/23 10:15 PM,22/Dec/23 12:15 AM,01/Nov/23 10:14 PM,,0,,[https://github.com/chubachi-pt-2023/atomono-front/pull/88|https://github.com/chubachi-pt-2023/atomono-front/pull/88|smart-link]  ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003bv:,,,summer-activity6,summer-activity7,summer-activity8,11/7,,1.0,,,,,,,,,,,,,,,Done
BE: ユーザが所持品リストから商品を削除するAPIを作成する,AT-497,10519,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,25/Sep/23 10:00 AM,31/Oct/23 7:29 PM,22/Dec/23 12:15 AM,31/Oct/23 7:29 PM,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,purple,,,0|i00303:,,,10/31,,,,,3.0,,,,,,,,"25/Sep/23 10:00 AM;63987e6af78d12c0f47112a9;{{Users::Has:ProductsController}} 

{{action: destroy}}",,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
FE: 所持品リスト画面にて、認証がない場合のUIを実装,AT-542,10564,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 10:22 PM,31/Oct/23 11:59 PM,22/Dec/23 12:15 AM,31/Oct/23 11:58 PM,,0,,認証していないと、使えない旨を記載,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,AT-268,ユーザーがサインアップ・サインアウトできること【共通】,,,,purple,,,0|i002zj:,,,10/31,,,,,3.0,,,,,,,,31/Oct/23 7:49 PM;62d6d768657fc166e26036e9;デザインカンプからやるぞ,31/Oct/23 8:27 PM;62d6d768657fc166e26036e9;　デザインカンプDone,31/Oct/23 11:59 PM;62d6d768657fc166e26036e9;[https://github.com/chubachi-pt-2023/atomono-front/pull/87|https://github.com/chubachi-pt-2023/atomono-front/pull/87|smart-link] ,,,10290,ユーザーがサインアップ・サインアウトできること【共通】,Done
FE: ユーザーはログアウトをしたい,AT-543,10565,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 11:20 PM,31/Oct/23 7:24 PM,22/Dec/23 12:15 AM,31/Oct/23 7:24 PM,,0,,headerからログアウトできるようにしてほしいです,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,AT-267,ユーザーがログイン・ログアウトできること【共通】,,,,purple,,,0|i002zr:,,,10/31,,,,,3.0,,,,,,,,,,,,,10289,ユーザーがログイン・ログアウトできること【共通】,Done
UI設計：廃盤品の詳細画面に口コミ投稿のbutton配置,AT-545,10567,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,16/Oct/23 1:04 AM,31/Oct/23 7:27 PM,22/Dec/23 12:15 AM,29/Oct/23 4:35 PM,,0,,"!スクリーンショット 2023-10-29 16.05.37.png|width=550,height=650!",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,29/Oct/23 4:06 PM;62d6d768657fc166e26036e9;スクリーンショット 2023-10-29 16.05.37.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10031,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,purple,,,0|i002z5:,,,10/31,,,,,1.0,,,,,,,,16/Oct/23 1:05 AM;62d6d768657fc166e26036e9;[https://chubachi-pt-2023.slack.com/archives/C054R4216MB/p1697378852751899|https://chubachi-pt-2023.slack.com/archives/C054R4216MB/p1697378852751899],,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
レスポンシブ対応：所持品リスト追加モダル,AT-555,10577,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,17/Oct/23 9:57 PM,04/Nov/23 9:34 AM,22/Dec/23 12:15 AM,04/Nov/23 9:34 AM,,0,,,,Fernández,,712020:744719ff-9f36-45ea-ad59-e50534df8206,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0031z:,,,10/31,11/7,,,,3.0,,,,,,,,,,,,,10494,所持品リスト・追加モーダル画面,Done
【UI修正】小さい画面サイズでヘッダーが崩れる不具合を修正,AT-567,10589,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,22/Oct/23 1:57 PM,31/Oct/23 7:27 PM,22/Dec/23 12:15 AM,31/Oct/23 7:27 PM,,0,Frontend,"0:07 辺りヘッダー部分が崩れます

!Peek 2023-10-21 22-06.mp4|width=1738,height=1320!",,,,,,,,,,,,,,,22/Oct/23 9:08 PM;712020:744719ff-9f36-45ea-ad59-e50534df8206;Peek 2023-10-21 22-06.mp4;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10028,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,,,,0|i0034f:,,,,,,,,,,,,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
【mobileメニュー】遷移先の設定,AT-570,10592,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Low,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,22/Oct/23 6:45 PM,31/Oct/23 2:08 PM,22/Dec/23 12:15 AM,31/Oct/23 2:08 PM,,0,,"* footer menuのhrefの設定
* 検索を押した場合は検索バーにfocus
* プロフィールページはないので未設定でよし",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,purple,,,0|i0034v:,,,10/31,,,,,5.0,,,,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
検索フィルターの要件定義,AT-572,10594,Story,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,23/Oct/23 10:23 PM,04/Nov/23 12:46 AM,22/Dec/23 12:15 AM,04/Nov/23 12:46 AM,,0,,検索フィルターを既存のデータで作成するとどうなるのか確認する,,Kenta Nakayama,,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,,,,,,,,,,,,,,,,,,,,,{},,AT-599,ユーザーが商品を検索時にフィルタリングできること,,,,,,,0|i0036j:,,,10/24,10/31,11/7,,,,,,,,,,,"23/Oct/23 11:19 PM;712020:5c9c58b6-2671-4bd8-8163-76419e5820db;現状だと以下の項目が使える。

ここからどうしたいかは別に考える。

{noformat}
|  検索フィルタ名  | 対応するDBデータ | ex |
| ---- | ---- | ---- |
|  ブランド  | master_brands | エリクシール, ナイーブなど |
| カテゴリ | master_categories | 化粧水, 保湿液など |
| 会社名 | master_companies | クラシエ, 資生堂など |
| 原産国 | master_countries | アメリカ, イタリアなど |
| 価格 | products.price | 100, 2100など |
| 生産終了時期 | products.discontinued_on |  |
| サイズ | products.size | 幅85mm×高さ135mm×奥行き8mmなど |
| 容量 | products.capacity | 500ml, 8gなど |
| 成分 | products.composition | 保湿液など |{noformat}",01/Nov/23 11:08 PM;712020:5c9c58b6-2671-4bd8-8163-76419e5820db;[https://chubachi-pt-2023.slack.com/archives/C054R4216MB/p1698847519364919?thread_ts=1698563361.893189&cid=C054R4216MB|https://chubachi-pt-2023.slack.com/archives/C054R4216MB/p1698847519364919?thread_ts=1698563361.893189&cid=C054R4216MB|smart-link] ,,,,10630,ユーザーが商品を検索時にフィルタリングできること,Done
マンスリーレビューの資料作成,AT-575,10597,Story,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,24/Oct/23 9:45 PM,04/Nov/23 1:06 AM,22/Dec/23 12:15 AM,04/Nov/23 1:06 AM,,0,,,,Kenta Nakayama,,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i0036t:,,,10/31,11/7,,,,,,,,,,,,,,,,,,,Done
FE: すでに追加済みの商品は選択不可とする(現在は登録時に422が返ってくる),AT-590,10621,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,28/Oct/23 3:28 AM,04/Nov/23 6:06 PM,22/Dec/23 12:15 AM,04/Nov/23 6:06 PM,,0,,"opacity-50

input disabled

id比較でいいかと",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i003av:,,,10/31,11/7,,,,3.0,,,,,,,,30/Oct/23 7:02 PM;62d6d768657fc166e26036e9;レスポンシブ対応中なので着手を次のスプリントへ見送ります〜,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: staging環境(devのデプロイ)を用意し、常にdeployされている状況にする,AT-596,10627,Story,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,31/Oct/23 8:06 PM,04/Nov/23 3:31 PM,22/Dec/23 12:14 AM,04/Nov/23 3:31 PM,,0,,"vercelでSTAGE_NAMEを定義し、ブランチで分けたい



dev: development

main: production",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003c7:,,,11/7,,,,,5.0,,,,,,,,31/Oct/23 8:16 PM;62d6d768657fc166e26036e9;これが設定されると、QAフェーズを定義することができて、デプロイ環境上でQAできる,31/Oct/23 8:31 PM;62d6d768657fc166e26036e9;[https://zenn.dev/keitakn/articles/nextjs-vercel-create-staging|https://zenn.dev/keitakn/articles/nextjs-vercel-create-staging],01/Nov/23 1:15 AM;62d6d768657fc166e26036e9;[https://zenn.dev/ttskch/articles/691fb62fbb6b1b|https://zenn.dev/ttskch/articles/691fb62fbb6b1b],"01/Nov/23 9:23 PM;62d6d768657fc166e26036e9;フロント：

[https://github.com/chubachi-pt-2023/atomono-front/pull/88|https://github.com/chubachi-pt-2023/atomono-front/pull/88|smart-link]
 - CI/CD設定完了","01/Nov/23 9:53 PM;62d6d768657fc166e26036e9;ドメイン: 


本番環境: [https://atomono.vercel.app/|https://atomono.vercel.app/|smart-link]  
preview環境: [https://front-jabelic.vercel.app/|https://front-jabelic.vercel.app/]",,,Done
FE: 追加した所持品がリストに反映されない,AT-598,10629,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,31/Oct/23 9:35 PM,04/Nov/23 9:34 AM,22/Dec/23 12:15 AM,04/Nov/23 9:34 AM,,0,,"!Peek 2023-10-31 21-47-adding-bug.mp4|width=1254,height=904!

一回目は成功するが、それ以降エラーがでます。

更新後、エラーが出なくなりますが、リアルタイムで反映されなくかります。再度更新すると表示されます。",,,,,,,,,,,,,,,31/Oct/23 9:52 PM;712020:744719ff-9f36-45ea-ad59-e50534df8206;Peek 2023-10-31 21-47-adding-bug.mp4;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10032,,,,,,,,,,{},,,,,,,,,,0|i003cn:,,,,,,,,,,,,,,,,,,,,,,,Done
BE: 【データ取得スクリプト修正】データ元に合わせる,AT-600,10631,Task,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,Fernández,712020:744719ff-9f36-45ea-ad59-e50534df8206,31/Oct/23 9:37 PM,31/Oct/23 9:37 PM,22/Dec/23 12:15 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003cv:,,,,,,,,,,,,,,,,,,,,,,,To Do
storybookが落ちて、起動できない,AT-602,10633,Bug,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,31/Oct/23 11:48 PM,04/Nov/23 5:57 PM,22/Dec/23 12:15 AM,04/Nov/23 5:57 PM,,0,,[https://github.com/chubachi-pt-2023/atomono-front/pull/92|https://github.com/chubachi-pt-2023/atomono-front/pull/92|smart-link] ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003d3:,,,11/7,,,,,,,,,,,,,02/Nov/23 2:41 AM;62d6d768657fc166e26036e9;[https://zenn.dev/akky1991/articles/7a8fb3ec6092dc|https://zenn.dev/akky1991/articles/7a8fb3ec6092dc],,,,,,,Done
フィルター要件に基づいたUIの再設計,AT-603,10634,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,01/Nov/23 12:21 AM,05/Nov/23 5:49 PM,22/Dec/23 12:15 AM,05/Nov/23 5:49 PM,,0,,"{{| ブランド | master_brands | エリクシール, ナイーブなど |}}

* 文字列検索

{{| カテゴリ | master_categories | 化粧水, 保湿液など |}}

* フロントで用意した文字列を選択することにより検索

{{| 会社名 | master_companies | クラシエ, 資生堂など |}}

* 文字列検索

{{| 原産国 | master_countries | アメリカ, イタリアなど |}}

* 一旦なし

{{| 価格 | products.price | 100, 2100など |}}

* 文字列検索(number)

{{| 生産終了時期 | products.discontinued_on |}}

* 一旦なし

{{| サイズ | products.size | 幅85mm×高さ135mm×奥行き8mmなど |}}

* 一旦なし

{{| 容量 | products.capacity | 500ml, 8gなど |}}

* 一旦なし

{{| 成分 | products.composition | 保湿液など |}}

* 一旦なし

----



フィルターv1

* 会社名でフィルター

フィルターv2

* ブランドでフィルター
* 価格でフィルター

フィルターv3

* カテゴリーでフィルター",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,AT-599,ユーザーが商品を検索時にフィルタリングできること,,,,purple,,,0|i003db:,,,11/7,,,,,1.0,,,,,,,,,,,,,10630,ユーザーが商品を検索時にフィルタリングできること,Done
本番環境用変数とsecrets.yml追加,AT-608,10639,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,High,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,03/Nov/23 11:04 PM,03/Nov/23 11:30 PM,22/Dec/23 12:15 AM,03/Nov/23 11:30 PM,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003d8:,,,11/7,,,,,3.0,,,,,,,,,,,,,,,Done
BE: 本番デプロイ毎に必要なコマンドをentrypoint.shに追記する,AT-609,10640,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,03/Nov/23 11:34 PM,03/Nov/23 11:44 PM,22/Dec/23 12:15 AM,03/Nov/23 11:44 PM,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003e7:,,,11/7,,,,,1.0,,,,,,,,,,,,,,,Done
商品画像を外部URLから取得する,AT-610,10641,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,04/Nov/23 9:33 AM,05/Nov/23 1:16 PM,22/Dec/23 12:15 AM,05/Nov/23 1:16 PM,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i003ef:,,,11/7,,,,,3.0,,,,,,,,,,,,,,,Done
FE: 三点リーダーを設定し、menu(編集・削除)を表示,AT-612,10643,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 9:50 AM,05/Nov/23 7:37 PM,22/Dec/23 12:15 AM,05/Nov/23 7:37 PM,,0,,ログアウト時に作成したdropdown menuはutil化してください。,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,,,,0|i003ev:,,,11/7,,,,,5.0,,,,,,,,,,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
FE: 編集用のモーダルを実装し、編集できるようにする,AT-614,10645,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Nov/23 9:51 AM,05/Nov/23 6:43 PM,22/Dec/23 12:15 AM,05/Nov/23 6:43 PM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,,{},,AT-573,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,,,,,,,0|i003fb:,,,11/7,,,,,5.0,,,,,,,,,,,,,10595,ユーザーが自分の所持品（愛用品）リストの情報を編集・削除できること【所持品リスト】,Done
